idx,hashtag,emoji_s,count
343,66.66公里跑出鼠年图案,"(15, 16, 3, 22, 23, 6, 4, 8, 20, 21, 5, 17, 13, 11, 12, 1, 10)","(100, 28, 10, 9, 9, 8, 8, 7, 7, 6, 5, 5, 4, 3, 3, 1, 1)"
344,66岁重症患者8天快速康复,"(15, 16, 19, 3, 24, 6, 18, 21, 14, 8, 12, 23, 5, 11, 4, 22)","(144, 25, 23, 12, 9, 8, 8, 6, 4, 4, 3, 3, 1, 1, 1, 1)"
345,6万余名医务工作者奋战武汉,"(19, 4, 16, 15, 5, 1, 23, 17, 10, 20, 9, 11, 18, 8, 21, 22, 14, 6, 7, 13, 24, 2, 3, 12)","(588, 217, 136, 89, 84, 55, 34, 25, 14, 13, 8, 7, 6, 4, 4, 3, 2, 2, 2, 2, 2, 1, 1, 1)"
346,6万辆共享单车挤爆两大停车场,"(16, 10, 6, 12, 21, 1, 24, 14, 3, 8, 4, 22, 11, 13, 5, 9, 17, 18)","(67, 24, 16, 16, 16, 12, 10, 9, 5, 4, 4, 4, 3, 3, 2, 1, 1, 1)"
347,6人入境瞒报相继确诊被立案,"(4, 15, 11, 1, 16, 18, 12, 17, 13, 8, 19, 14, 9, 7, 20, 21, 22, 23, 2, 3, 24, 5, 6, 10)","(5367, 126, 107, 54, 48, 35, 28, 28, 15, 14, 12, 11, 9, 8, 8, 6, 6, 6, 3, 3, 3, 2, 2, 1)"
348,6岁孩子走6万步山路上学,"(5, 16, 15, 8, 22, 3, 12, 1, 14, 18, 17, 24, 23)","(537, 122, 93, 15, 15, 10, 7, 6, 5, 5, 3, 3, 2)"
349,6岁男孩发现灭绝动物化石,"(15, 17, 6, 8, 4, 24, 3, 16, 13, 5, 18, 2, 11, 20, 9, 21, 22, 19, 23, 14, 7, 10)","(96, 27, 22, 10, 10, 9, 8, 8, 7, 5, 5, 4, 4, 4, 3, 3, 3, 2, 2, 1, 1, 1)"
350,6月大女婴被楼上掉落的洗发水砸中,"(4, 5, 17, 12, 2, 11, 16, 1, 18, 14, 13, 21, 9, 23, 8, 7, 22, 24, 3, 6, 10, 15, 20)","(5482, 319, 120, 38, 28, 22, 18, 16, 11, 10, 10, 8, 7, 7, 4, 3, 2, 2, 1, 1, 1, 1, 1)"
351,6毛进价口罩卖1元被罚将重启调查,"(11, 4, 6, 1, 15, 16, 8, 21, 10, 5, 24, 3, 14, 13, 9, 18, 23, 22, 7, 20, 2, 17, 12, 19)","(5585, 928, 230, 206, 129, 114, 42, 27, 25, 23, 21, 18, 12, 12, 11, 11, 11, 10, 9, 9, 8, 8, 5, 2)"
352,6省份已明确学生住宿费怎么退,"(1, 24, 8, 15, 6, 19, 18, 4, 2, 21, 7, 14, 13, 3, 5, 17, 11, 12, 9, 22, 20, 10, 16)","(1717, 495, 283, 167, 127, 39, 36, 33, 28, 18, 14, 13, 12, 10, 10, 7, 6, 6, 5, 5, 3, 2, 2)"
353,70岁患者36天后成功撤下ECMO,"(15, 16, 22, 5, 4, 24, 9, 3, 6)","(563, 112, 36, 9, 7, 7, 4, 1, 1)"
354,71岁大爷蛋壳上刺绣,"(15, 7, 21, 12, 6, 2, 13, 3, 4, 23, 16, 22, 24, 8, 14, 19, 20, 5)","(1872, 306, 49, 19, 14, 9, 9, 8, 8, 8, 7, 7, 6, 4, 3, 3, 3, 2)"
355,742爱酱,"(5, 11, 16, 17, 4, 23, 1, 18, 14, 12, 15, 19, 8, 2, 24, 13, 21, 6, 9, 10)","(1704, 580, 200, 102, 59, 36, 28, 26, 20, 19, 19, 10, 6, 5, 4, 3, 3, 2, 2, 2)"
356,75岁老人开保时捷撞伤3行人,"(4, 11, 5, 1, 15, 17, 6, 12, 19, 8, 9, 2, 16, 18, 3, 14, 10, 7, 13, 20, 22, 21, 24, 23)","(4605, 308, 149, 86, 58, 46, 45, 38, 38, 25, 25, 23, 22, 19, 13, 13, 13, 10, 9, 8, 8, 7, 6, 2)"
357,77名驻澳门部队官兵摆出莲花图案,"(16, 21, 24, 15, 6, 8, 9, 22)","(113, 9, 7, 4, 1, 1, 1, 1)"
358,77岁教授裸捐8208万,"(16, 15, 22, 19, 10, 20, 24, 18, 23, 3, 8, 4, 1, 14, 5, 6, 9, 12)","(2343, 475, 131, 21, 14, 9, 9, 8, 6, 5, 2, 2, 1, 1, 1, 1, 1, 1)"
359,7901万多名党员自愿捐款82.6亿元,"(19, 15, 16, 8, 11, 14, 4, 6, 2, 23, 1, 9, 13, 22, 24, 3, 20, 5, 17, 7, 21, 18, 10, 12)","(3520, 478, 426, 287, 169, 73, 46, 42, 40, 33, 24, 21, 21, 16, 14, 13, 10, 8, 8, 7, 7, 6, 5, 2)"
360,79岁奶奶设计内衣当模特,"(16, 15, 6, 13, 22, 7, 2, 14, 20, 9, 19, 17, 18, 12, 24, 3, 8, 11, 21, 5, 23)","(451, 59, 31, 22, 21, 16, 14, 8, 8, 7, 7, 6, 6, 5, 4, 3, 3, 2, 2, 1, 1)"
361,7个月大婴儿就任美国名誉市长,"(11, 8, 6, 3, 16, 24, 12, 10, 13, 5, 7, 4, 14, 22, 21, 23, 19, 1, 9, 17, 20, 2, 15, 18)","(339, 120, 79, 75, 42, 31, 26, 20, 20, 17, 16, 16, 14, 14, 12, 11, 10, 9, 9, 9, 6, 5, 5, 2)"
362,7个月没回家客厅变植物园,"(6, 3, 7, 8, 11, 15, 16, 24, 10, 19, 14, 12, 20, 1, 2, 21, 22, 23, 9, 13, 5, 18, 4, 17)","(1068, 188, 131, 90, 42, 37, 24, 14, 12, 11, 9, 9, 9, 8, 8, 8, 8, 8, 6, 4, 3, 3, 2, 1)"
363,7名留澳中国学生聚餐被罚5万,"(11, 15, 4, 14, 8, 6, 2, 1, 10, 9, 19, 18, 3, 21, 24, 12, 5, 7, 13, 22, 16, 20)","(1435, 820, 579, 249, 194, 170, 66, 47, 31, 29, 29, 21, 19, 15, 14, 13, 9, 9, 8, 6, 5, 5)"
364,7名贡献突出医务人员认定高一级职称,"(15, 11, 1, 18, 3, 16, 19, 21, 7, 10, 13, 24, 6, 9, 20)","(403, 21, 10, 8, 7, 7, 7, 6, 5, 4, 3, 2, 1, 1, 1)"
365,7岁女孩案板下学习一个月,"(15, 16, 5, 22, 4, 23, 6, 1, 11, 12, 24, 17, 19, 3, 18, 8, 14, 9, 13)","(2582, 661, 158, 60, 25, 24, 23, 17, 13, 13, 11, 9, 9, 8, 7, 5, 4, 2, 1)"
366,7岁男童遭亲妈家暴却仍想她,"(17, 5, 4, 16, 9, 22, 12, 7, 1, 23, 18, 14, 8, 10, 20, 15, 24, 3, 6, 19, 21, 13)","(2744, 633, 256, 98, 19, 18, 14, 12, 11, 11, 9, 8, 8, 8, 7, 6, 6, 5, 5, 5, 2, 1)"
367,7旬学生为98岁班主任庆生,"(16, 5, 15, 21, 1, 19)","(291, 59, 20, 5, 1, 1)"
368,7类返京人群免隔离14天,"(11, 4, 1, 18, 22, 13, 6, 21, 3, 5, 15, 19, 24, 8, 23, 14, 10, 12, 16, 20)","(631, 302, 35, 35, 13, 11, 9, 9, 8, 8, 6, 6, 6, 5, 4, 2, 2, 2, 2, 2)"
369,8000只考拉丧生山火,"(5, 17, 18, 4, 13, 16, 11, 12, 19, 9, 15, 22, 2, 8, 20, 14, 6, 23, 3, 10, 21, 24, 1)","(2672, 219, 119, 41, 29, 25, 18, 16, 16, 15, 15, 14, 13, 12, 9, 7, 7, 7, 5, 4, 4, 4, 1)"
370,80名中国公民在俄隔离遭虐待不实,"(4, 8, 11, 14, 10, 9, 13, 22, 15, 1, 24, 7, 16, 17, 20, 5, 6, 21, 19, 12, 18, 2, 3, 23)","(3984, 357, 309, 132, 83, 68, 62, 50, 46, 38, 29, 27, 26, 21, 20, 19, 18, 18, 15, 14, 11, 6, 5, 4)"
371,80岁女儿为102岁母亲梳头,"(16, 15, 23, 9, 13, 22)","(320, 17, 10, 1, 1, 1)"
372,81192,"(18, 5, 16, 15, 2, 11, 4, 19, 3, 14, 8, 17, 21, 1, 9, 24, 6, 12, 13, 22, 23, 7, 20, 10)","(42464, 5250, 4991, 90, 22, 22, 22, 17, 15, 15, 15, 15, 13, 12, 12, 11, 10, 10, 10, 10, 10, 9, 9, 8)"
373,82岁芬兰前总统确诊新冠肺炎,"(5, 12, 16, 18, 8, 15, 19, 2, 14, 6, 21, 17, 10, 7, 11, 24, 13, 4, 23, 20, 22, 3)","(928, 306, 187, 180, 72, 47, 38, 31, 29, 21, 13, 9, 8, 6, 5, 5, 4, 4, 3, 2, 2, 1)"
374,82年前的南京,"(5, 18, 16, 17, 4, 22, 7, 21, 24, 12, 6, 10, 11, 20, 2, 8, 15, 19, 23, 1, 14, 9, 13, 3)","(3373, 1767, 301, 89, 17, 16, 14, 14, 14, 11, 9, 9, 9, 9, 8, 8, 7, 6, 6, 5, 5, 5, 5, 1)"
375,84岁钟南山再战防疫最前线,"(15, 16, 5, 22, 23, 19, 20, 24, 4, 8, 11, 18, 12, 17, 21, 1, 13, 9, 10, 2, 3, 14, 6, 7)","(5808, 1016, 407, 252, 53, 21, 14, 14, 11, 10, 10, 9, 7, 7, 7, 6, 6, 4, 4, 3, 2, 2, 2, 2)"
376,84消毒液是怎么来的,"(6, 15, 10, 8, 3, 9, 23, 22, 7, 21, 11, 5, 16, 17, 18, 19, 12, 13, 24, 2, 14, 4)","(102, 94, 36, 29, 21, 20, 19, 16, 15, 15, 10, 8, 8, 7, 5, 5, 4, 3, 3, 2, 2, 2)"
377,86岁老人向武汉捐万元退休工资,"(16, 5, 15, 23, 11, 17, 22, 6, 19, 20, 8, 10, 12, 4)","(325, 103, 73, 8, 7, 6, 3, 2, 2, 2, 1, 1, 1, 1)"
378,87岁抗美援朝老兵捐赠2万只口罩,"(16, 22, 5, 15, 3, 19, 23, 6, 7, 8, 24, 21, 18, 10, 4)","(1042, 173, 63, 56, 16, 15, 9, 8, 7, 7, 7, 5, 3, 1, 1)"
379,87版红楼梦剧组重聚,"(16, 5, 7, 12, 8, 6, 15, 17, 14, 2, 24, 18, 19, 23, 3, 10, 13, 22)","(923, 199, 32, 12, 10, 9, 9, 9, 8, 6, 6, 5, 5, 5, 4, 4, 4, 1)"
380,8888靓号欠28元被销号重装需19.2万,"(11, 4, 8, 12, 1, 6, 14, 9, 3, 20, 2, 5, 16, 18, 19, 22, 15, 7, 10, 17, 13, 23, 24)","(623, 308, 45, 32, 21, 12, 11, 10, 9, 9, 8, 7, 7, 7, 7, 7, 6, 5, 4, 4, 3, 3, 3)"
381,88岁妹妹独自看望97岁姐姐迷路,"(23, 5, 16, 15, 3, 11, 20, 6, 18, 1, 12, 9, 4, 17, 8, 19, 21, 13, 10, 24, 7, 22, 2)","(2639, 419, 278, 44, 26, 21, 11, 10, 9, 8, 8, 7, 7, 6, 5, 5, 5, 4, 3, 3, 2, 2, 1)"
382,88岁老人与孙子弹琴合奏,"(16, 8, 15, 22, 23, 7, 3)","(327, 8, 8, 7, 5, 3, 1)"
383,8k版春晚将面世,"(7, 14, 3, 8, 11, 6, 13, 23, 22, 17, 4, 2, 15, 16, 1, 9, 21, 24, 5, 18, 10)","(131, 24, 19, 17, 17, 12, 12, 9, 8, 6, 5, 4, 4, 4, 3, 3, 3, 3, 2, 2, 1)"
384,8个新冠肺炎病区关闭,"(15, 19, 16, 5, 22, 7, 11, 23, 4, 14, 13, 18, 9, 12, 3, 24, 2, 8, 20)","(1073, 122, 108, 33, 24, 17, 16, 16, 9, 8, 7, 7, 6, 6, 2, 2, 1, 1, 1)"
385,8名台胞滞留武汉做志愿者,"(15, 16, 4, 22, 7, 14, 6, 13, 5, 18, 23, 8, 19, 3, 17, 24, 2, 1)","(2399, 278, 89, 34, 28, 22, 21, 14, 8, 7, 7, 6, 6, 5, 5, 4, 2, 1)"
386,8岁YouTube博主年收入1.8亿,"(24, 15, 14, 11, 12, 8, 4, 6, 22, 21, 1, 5, 18, 19, 7, 10, 17, 2, 20, 16)","(1033, 32, 27, 21, 17, 16, 14, 13, 12, 9, 8, 7, 7, 7, 5, 5, 5, 4, 4, 3)"
387,8岁女孩被大妈选为广场舞领舞,"(8, 15, 3, 6, 11, 2, 10, 21, 23, 17, 12, 20, 9, 4, 24, 5, 1, 7, 16)","(442, 165, 87, 43, 36, 22, 10, 9, 9, 8, 7, 6, 5, 5, 4, 3, 2, 1, 1)"
388,90后ICU护士自豪地说我挺牛的,"(16, 15, 22, 19, 20, 2, 5, 7, 8)","(830, 151, 40, 10, 8, 4, 3, 2, 2)"
389,90后三十了,"(6, 3, 5, 4, 8, 2, 14, 11, 12, 16, 17, 7, 9, 24, 18, 21)","(241, 47, 45, 33, 19, 9, 8, 8, 8, 8, 8, 7, 6, 3, 1, 1)"
390,90后三年来立遗嘱人数翻近3倍,"(6, 11, 8, 16, 15, 5, 3, 10, 12, 17, 9, 19, 20, 7, 23, 21, 24, 13, 4, 18, 22, 1, 2, 14)","(490, 191, 89, 66, 50, 44, 35, 21, 17, 11, 10, 8, 8, 7, 7, 5, 5, 4, 4, 4, 4, 3, 2, 1)"
391,90后出纳员819次挪用公款,"(6, 11, 1, 4, 8, 16, 3, 14, 9, 10, 22, 23, 12, 17, 21, 2, 13, 19)","(63, 60, 43, 33, 16, 15, 13, 11, 10, 9, 7, 6, 3, 3, 2, 1, 1, 1)"
392,90后初老迹象,"(6, 5, 1, 8, 3, 21, 9, 11, 19, 4, 13, 22, 23, 14, 17, 18, 20, 7, 12, 24, 16)","(213, 87, 53, 43, 37, 32, 21, 21, 11, 10, 8, 8, 7, 6, 6, 6, 6, 4, 4, 3, 2)"
393,90后单眼女教师,"(15, 22, 23, 16, 14, 24, 3, 9, 12, 18, 20, 8, 19, 21, 2, 10)","(99, 19, 18, 9, 6, 6, 5, 5, 5, 5, 5, 4, 4, 3, 2, 1)"
394,90后变老迹象,"(6, 5, 4, 21, 13, 8, 14, 23, 12, 20, 17, 22, 24, 19, 1, 10, 16)","(403, 202, 98, 43, 28, 21, 20, 19, 18, 12, 11, 11, 8, 6, 4, 2, 2)"
395,90后和长辈们的真实现状,"(6, 21, 1, 5, 8, 3, 9, 13, 4, 2, 12, 15, 16, 18, 22, 11, 23, 14, 20, 17, 19, 24, 7)","(402, 91, 35, 31, 30, 19, 17, 13, 13, 10, 9, 9, 8, 8, 8, 7, 7, 6, 6, 4, 3, 3, 2)"
396,90后奔四的心态,"(6, 11, 8, 14, 5, 21, 9, 13, 3, 1, 15, 4)","(97, 65, 57, 22, 20, 18, 12, 12, 9, 6, 6, 1)"
397,90后女生立遗嘱将房产留闺蜜,"(16, 5, 8, 15, 11, 10, 13, 14, 20, 24, 23, 2, 19, 6, 4, 22, 1, 12, 3, 9, 17, 21, 18, 7)","(93, 48, 35, 21, 19, 16, 13, 12, 12, 12, 11, 9, 9, 8, 7, 7, 5, 5, 4, 3, 3, 3, 2, 1)"
398,90后小伙中百万年货分给全村,"(24, 15, 8, 2, 22, 16, 6, 14, 7, 13, 19, 11, 3, 9, 21, 20)","(80, 62, 18, 15, 15, 12, 11, 8, 8, 8, 8, 5, 3, 2, 2, 1)"
399,90后小伙和80岁大爷画年俗涂鸦,"(23, 6, 3, 16, 9, 7, 11, 19, 21, 5, 17, 18, 24, 15, 20, 2, 14, 8, 10, 4, 22)","(60, 13, 11, 9, 7, 6, 4, 4, 4, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1)"
400,90后小伙跳水救轻生姑娘遇难,"(18, 5, 3, 4, 17, 16, 7, 11, 12, 14, 1, 8)","(399, 63, 22, 21, 16, 10, 7, 7, 6, 4, 3, 1)"
401,90后成观影主力,"(8, 6, 11, 3, 7, 2, 15, 16, 21, 5, 9, 19, 10, 14, 1, 13)","(84, 23, 19, 16, 10, 9, 9, 8, 7, 5, 5, 5, 4, 2, 1, 1)"
402,90后护士援鄂后又护理境外输入病例,"(16, 15, 4, 14, 24, 22, 1, 5, 21, 19, 17, 11, 20)","(452, 43, 39, 16, 9, 8, 7, 7, 6, 5, 4, 3, 2)"
403,90后救人遇难被追授见义勇为称号,"(18, 17, 5, 16, 4, 1, 2)","(199, 36, 25, 10, 2, 1, 1)"
404,90后海军女作战长指挥主炮夺第一,"(15, 7, 6, 22, 16, 4, 5, 20)","(101, 5, 4, 4, 3, 2, 1, 1)"
405,90后的老年生活,"(6, 3, 8, 16, 19, 12, 10, 14, 5, 9, 24, 21, 22, 1, 17, 7, 13)","(193, 65, 42, 20, 9, 8, 7, 5, 5, 5, 5, 4, 4, 2, 2, 1, 1)"
406,90后过年要花多少钱,"(8, 6, 5, 17, 3, 13, 16, 20, 10, 1, 14, 12, 15, 22, 7, 21, 2, 23, 24, 9, 18)","(111, 80, 35, 33, 15, 14, 14, 12, 11, 9, 8, 6, 6, 6, 5, 5, 4, 3, 3, 1, 1)"
407,90后运动量不及60后,"(6, 8, 11, 16, 21, 3, 13, 5, 10, 2, 17, 7, 9, 4, 14, 12, 19, 24, 23, 1, 15)","(595, 350, 63, 58, 52, 39, 24, 21, 15, 13, 11, 10, 10, 10, 9, 8, 8, 7, 5, 4, 1)"
408,90岁奶奶世界最年长游戏玩家,"(15, 8, 6, 3, 19, 21, 16, 9, 4, 18, 7, 12, 2, 13, 1, 14, 5, 23, 10, 11, 20)","(256, 54, 30, 27, 16, 16, 13, 12, 9, 9, 8, 7, 5, 4, 3, 3, 3, 3, 1, 1, 1)"
409,90岁母亲陪护了4天4夜的儿子离世,"(5, 18, 17, 16, 8, 22, 9, 19, 23, 3, 14, 15, 24, 13, 4, 20)","(4311, 528, 214, 63, 9, 9, 8, 7, 7, 6, 6, 3, 2, 1, 1, 1)"
410,90岁老人怕浪费资源拔针拒绝治疗,"(16, 5, 11, 23, 17, 24, 13, 8, 10, 6, 4, 14, 9, 18, 21)","(4585, 1950, 41, 41, 11, 9, 6, 5, 5, 4, 3, 2, 1, 1, 1)"
411,90岁老奶奶和耳背闺蜜聊天,"(16, 3, 6, 2, 8, 10, 20, 5, 4)","(610, 134, 41, 11, 5, 5, 3, 1, 1)"
412,90斤以下爆照大赛,"(6, 8, 1, 13, 5, 4, 2, 14, 3, 17, 9, 12, 23, 20, 24, 16, 11, 21)","(197, 148, 79, 47, 38, 31, 29, 28, 27, 14, 9, 9, 8, 6, 6, 4, 3, 3)"
413,90秒回顾全国默哀时刻,"(5, 18, 16, 11, 7, 15, 2, 3, 19, 4, 24, 12, 6, 13, 17, 21)","(3957, 958, 189, 13, 9, 8, 7, 6, 6, 5, 5, 2, 1, 1, 1, 1)"
414,91岁抗美援朝老兵为战友立碑,"(16, 5, 18, 15, 23, 24, 8, 14, 10, 19, 1, 12, 6, 11, 4, 20, 22, 21, 3, 13)","(1989, 291, 98, 23, 17, 16, 12, 9, 8, 8, 7, 7, 6, 6, 6, 4, 4, 3, 1, 1)"
415,91岁老人跑步74年,"(15, 16, 13, 6, 8, 22, 3, 18, 7, 9)","(164, 15, 9, 8, 7, 6, 4, 4, 1, 1)"
416,91年女孩2000米山上教学5年,"(15, 16, 5, 6, 22, 23, 2, 9, 4, 24, 3, 17, 19, 20)","(287, 144, 25, 11, 11, 7, 5, 3, 3, 2, 1, 1, 1, 1)"
417,92岁医生一周看600位病人,"(16, 22, 15, 9, 24, 8, 21, 10, 13, 3, 19, 5, 12)","(488, 46, 15, 11, 8, 6, 5, 3, 3, 2, 2, 1, 1)"
418,92岁外婆带83岁奶奶摸河蚌,"(16, 3, 15, 8, 5, 23, 6, 13, 24, 2, 14, 19, 18, 22, 9, 20, 11, 4, 7, 17, 10, 1, 21, 12)","(3612, 372, 125, 59, 48, 36, 30, 25, 25, 13, 13, 13, 11, 11, 10, 10, 9, 9, 8, 8, 6, 4, 2, 1)"
419,92岁爷爷娶78岁奶奶,"(16, 11, 22, 8, 7, 13, 18, 2, 24, 23, 6, 10, 17, 19, 5, 15, 20, 4, 3, 1, 21, 14, 9)","(1243, 174, 43, 41, 25, 25, 25, 19, 16, 12, 10, 10, 9, 9, 8, 8, 8, 6, 5, 2, 2, 1, 1)"
420,93年包租婆拥有400栋楼,"(24, 6, 8, 4, 11, 21, 5, 3, 15, 17, 12, 14, 13, 7, 18, 19, 1, 10, 22, 9, 2, 23, 16, 20)","(6856, 417, 308, 258, 191, 152, 83, 74, 60, 45, 41, 39, 36, 31, 30, 24, 19, 19, 19, 17, 12, 12, 10, 10)"
421,94岁核潜艇专家撒狗粮,"(16, 5, 7, 23, 22, 18, 6, 4, 13, 17, 3, 8, 24, 2)","(775, 36, 36, 23, 16, 8, 7, 7, 5, 5, 3, 2, 2, 1)"
422,94岁母亲举报65岁女儿聚众打麻将,"(6, 8, 22, 16, 15, 3, 5, 24, 4, 23, 10, 11, 14, 20, 21, 17, 12, 18, 9, 7, 1, 19, 2)","(2297, 967, 520, 307, 300, 217, 88, 37, 35, 25, 21, 20, 16, 16, 16, 14, 9, 9, 8, 7, 3, 3, 1)"
423,94岁老奶奶的特殊党费,"(15, 16, 5, 4, 23, 20, 19, 22, 12, 6, 3)","(604, 131, 66, 57, 19, 9, 8, 7, 3, 2, 1)"
424,95后全职妈妈占比八成,"(13, 11, 16, 6, 1, 14, 23, 4, 8, 3, 9, 10, 12, 5, 15, 18, 7, 17, 24, 20, 2, 21, 19)","(356, 178, 60, 59, 38, 28, 28, 20, 18, 15, 14, 13, 11, 10, 9, 8, 7, 7, 7, 5, 3, 3, 1)"
425,95后天才少年一天两登Nature,"(15, 21, 6, 19, 24, 16, 22, 8, 9, 14, 2, 7, 23, 4, 12, 11, 13, 17, 18, 5, 20, 3, 10)","(4460, 271, 112, 111, 103, 43, 38, 27, 27, 26, 23, 17, 17, 14, 9, 7, 7, 5, 5, 4, 4, 1, 1)"
426,95后消防员被00后叫叔叔,"(6, 3, 8, 1, 11, 18, 16, 17, 2, 12, 23, 7, 22, 14, 21, 13)","(461, 308, 43, 17, 17, 14, 13, 10, 9, 7, 7, 6, 6, 3, 3, 1)"
427,95后火神山小护士,"(16, 22, 15, 7, 24, 5, 20, 11, 6)","(1260, 193, 96, 17, 9, 6, 6, 2, 1)"
428,95后男护士病房内带患者打太极,"(16, 8, 15, 3, 6, 21, 5, 11, 12, 1, 20, 23, 2, 14, 22, 24, 17)","(665, 101, 77, 42, 39, 15, 9, 6, 5, 4, 4, 4, 2, 2, 2, 2, 1)"
429,95后男护士防护服写精忠报国,"(22, 15, 16, 5, 4, 24, 2, 11, 19, 20, 12, 1, 6, 18)","(726, 68, 30, 23, 15, 11, 6, 6, 6, 6, 3, 2, 1, 1)"
430,95后辅警牺牲抗疫一线,"(18, 5, 17, 4, 8, 16, 2, 21, 15, 19, 3)","(4133, 288, 120, 22, 12, 10, 7, 7, 6, 4, 1)"
431,95岁老奶奶口红是必备品,"(16, 15, 6, 23, 8, 3, 5, 11, 4, 22, 13, 1, 19, 24, 17, 18, 14, 20, 2, 7, 21, 9)","(2224, 132, 98, 76, 56, 32, 24, 19, 18, 15, 13, 9, 9, 9, 7, 6, 5, 5, 3, 2, 2, 1)"
432,96岁黄永玉手书讣告,"(18, 5, 16, 20, 21, 23, 11, 15, 2, 14, 6, 17, 24)","(2717, 41, 28, 6, 5, 4, 3, 3, 2, 1, 1, 1, 1)"
433,96款5G手机终端已获得入网许可,"(21, 15, 8, 22, 10, 1, 16, 6, 14, 7, 20)","(55, 32, 17, 12, 11, 8, 6, 3, 1, 1, 1)"
434,980岁糯米花王进入盛花期,"(7, 16, 21, 15, 6, 17, 22, 3, 10, 11, 18, 1, 12, 2, 13, 23, 8, 14, 20, 9, 4, 24, 19)","(886, 86, 29, 22, 21, 18, 17, 13, 13, 12, 12, 10, 10, 9, 9, 9, 8, 7, 7, 6, 3, 3, 1)"
435,9958回应吴花燕事件,"(4, 17, 11, 1, 5, 18, 20, 21, 24, 13, 22, 19, 7, 23, 16, 2, 8, 9, 15, 3, 14)","(5217, 141, 55, 35, 28, 18, 14, 12, 11, 8, 8, 7, 6, 6, 5, 2, 2, 2, 2, 1, 1)"
436,999皮炎平在吐槽大会违法植入广告,"(16, 6, 11, 14, 8, 3, 12, 4, 21, 10, 19, 5, 15, 18, 9, 17, 22, 24, 23)","(689, 146, 125, 83, 76, 49, 29, 22, 18, 16, 16, 9, 9, 9, 6, 5, 3, 3, 1)"
437,9pick变2pick,"(4, 5, 11, 16, 14, 6, 8, 19, 21, 15, 7, 18, 3, 22, 10, 12, 1, 13, 2, 20, 17, 9, 24, 23)","(2214, 848, 413, 329, 113, 77, 64, 55, 26, 25, 24, 22, 20, 18, 16, 14, 12, 12, 8, 8, 7, 6, 6, 3)"
438,9例重症患者血浆抗体治疗效果显著,"(16, 15, 19, 7, 5, 4, 22, 12, 8, 9, 21, 6, 23, 13, 24, 10, 18, 20, 14, 11)","(2524, 564, 94, 62, 52, 43, 38, 17, 15, 13, 10, 9, 8, 7, 7, 6, 6, 6, 3, 1)"
439,9分钟医疗队回家视频,"(16, 5, 15, 22, 13, 3, 21)","(922, 463, 31, 15, 7, 5, 1)"
440,9地新增39例境外输入病例,"(4, 1, 5, 11, 17, 18, 8, 6, 15, 21, 19, 13, 2, 9, 16, 3, 7, 22, 20, 14, 10, 12, 23, 24)","(4706, 121, 104, 88, 79, 32, 26, 22, 18, 17, 15, 11, 9, 9, 9, 7, 7, 7, 2, 1, 1, 1, 1, 1)"
441,9岁中国女孩联合国演讲,"(15, 6, 17, 20, 14, 22, 2, 23, 11, 12, 1, 8, 13, 16, 9, 19, 4, 18, 7, 3, 21, 24)","(1496, 666, 11, 11, 10, 10, 8, 8, 7, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 1, 1, 1)"
442,9岁女孩 我替武汉谢谢你们,"(16, 5, 22, 15, 1, 11, 2, 8, 12, 23, 20, 24, 6, 4, 7, 18, 19, 17, 9, 13, 21, 10)","(3981, 750, 62, 48, 29, 26, 19, 16, 15, 13, 12, 11, 9, 9, 8, 8, 8, 7, 5, 2, 2, 1)"
443,9岁女孩儿到派出所自首,"(15, 3, 6, 11, 16, 4, 8, 7, 14, 23, 5, 17, 24, 1, 13, 22, 12, 18, 2, 9, 10, 19, 20, 21)","(4382, 1182, 367, 149, 61, 37, 22, 18, 15, 12, 11, 11, 9, 7, 7, 7, 5, 5, 4, 4, 4, 4, 4, 4)"
444,9岁弟弟备奶茶等考研姐姐,"(7, 8, 6, 24, 5, 16, 15, 1, 19, 23, 2, 22, 11, 14, 20, 3, 12, 17, 21, 18, 10, 4, 9)","(904, 274, 203, 134, 106, 89, 63, 25, 25, 19, 18, 16, 13, 10, 10, 8, 8, 8, 7, 6, 4, 4, 1)"
445,9岁男孩山坡搭棚上网课,"(15, 5, 17, 6, 14, 16, 8, 1, 3, 21, 24, 9, 11)","(340, 51, 15, 10, 5, 5, 4, 3, 2, 2, 2, 1, 1)"
446,9岁男孩花10万炒股亏7万,"(8, 6, 3, 11, 17, 14, 15, 16, 18, 13, 21, 24, 2, 4, 19, 23, 7, 9, 22, 12, 20, 5, 10)","(252, 189, 56, 50, 32, 22, 18, 16, 16, 13, 13, 12, 7, 6, 6, 6, 5, 5, 4, 3, 2, 1, 1)"
447,9省物资直达武汉协和,"(15, 5, 19, 1, 16, 4, 22, 11, 7, 17, 20, 24, 2, 3, 23, 14, 8, 21, 6, 9, 10, 12, 13, 18)","(6388, 259, 178, 131, 127, 109, 25, 22, 14, 11, 7, 6, 4, 4, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1)"
448,9组出征和凯旋的对比图,"(15, 16, 5, 23, 3)","(103, 71, 4, 4, 1)"
